Transcription Start	Translation Start	Translation Stop	Transcription Stop	Strand	Name	Synonym	Product	Expression Non-resistant	Expression Resistant	qValue Non-resistant vs Resistant
	836352	836654		+	-	EcE24377A_0812	hypothetical protein	0	0	1.0
	836722	837054		+	emrE	EcE24377A_0813	multidrug efflux protein	0	0	1.0
838018			838117	+	-	predicted RNA	-	0	1000	1.0
	840684	839146		-	-	EcE24377A_0815	IS66 family transposase	0	0	1.0
	841081	840734		-	-	EcE24377A_0816	IS66 family orf2	0	0	1.0
	841467	841078		-	-	EcE24377A_0817	IS66 family orf1	0	0	1.0
	841896	842678		+	-	EcE24377A_0818	hypothetical protein	0	0	1.0
	842871	843326		+	-	EcE24377A_0819	hypothetical protein	0	0	1.0
	843489	843779		+	-	EcE24377A_0820	hypothetical protein	0	0	1.0
	843776	844138		+	rusA	EcE24377A_0821	endodeoxyribonuclease RUS	0	0	1.0
	844138	844275		+	-	EcE24377A_0822	hypothetical protein	0	0	1.0
	844361	844744		+	-	EcE24377A_0823	phage antitermination Q	0	0	1.0
	846015	844933		-	-	EcE24377A_0824	outer membrane porin protein LC	0	0	1.0
	846076	845942		-	-	EcE24377A_0825	hypothetical protein	0	0	1.0
	846604	846819		+	-	EcE24377A_0826	lysis protein S	0	0	1.0
	846819	847316		+	-	EcE24377A_0827	phage lysozyme	0	0	1.0
	847313	847750		+	-	EcE24377A_0828	bacteriophage lysis protein	0	0	1.0
	847955	848476		+	-	EcE24377A_0829	KilA domain-containing protein	0	0	1.0
	849632	849775		+	-	EcE24377A_0830	hypothetical protein	0	0	1.0
	849915	850460		+	-	EcE24377A_0831	phage DNA packaging protein Nu1	0	0	1.0
	850435	852024		+	-	EcE24377A_0832	phage terminase large subunit (GpA)	0	0	1.0
	852030	852875		+	-	EcE24377A_0833	phage tail collar domain-containing protein	0	0	1.0
	852875	853459		+	-	EcE24377A_0834	tail fiber assembly protein	0	0	1.0
	854864	853533		-	-	EcE24377A_0835	diguanylate cyclase	0	0	1.0
	856086	855610		-	-	EcE24377A_0836	kinase inhibitor protein	0	0	1.0
	857434	856145		-	bioA	EcE24377A_0837	adenosylmethionine-8-amino-7-oxononanoate aminotransferase	0	0	1.0
	857521	858561		+	bioB	EcE24377A_0838	biotin synthase	0	0	1.0
	858558	859712		+	bioF	EcE24377A_0839	8-amino-7-oxononanoate synthase	0	0	1.0
	859699	860454		+	bioC	EcE24377A_0840	biotin biosynthesis protein BioC	0	0	1.0
	860447	861124		+	bioD	EcE24377A_0841	dithiobiotin synthetase	0	0	1.0
	861703	863724		+	uvrB	EcE24377A_0842	excinuclease ABC subunit B	0	0	1.0
863430			863281	-	-	predicted RNA	antisense: uvrB	555	0	0.0
	864824	863916		-	-	EcE24377A_0843	hypothetical protein	0	0	1.0
864517			864681	+	-	predicted RNA	antisense: EcE24377A_0843	0	1212	0.0
864938			864839	-	-	predicted RNA	-	0	1000	1.0
865221	865221	866210	866210	+	moaA	EcE24377A_0844	molybdenum cofactor biosynthesis protein A	42	0	0.0
866162			866013	-	-	predicted RNA	antisense: moaA	277	0	0.0
	866232	866744		+	moaB	EcE24377A_0845	molybdenum cofactor biosynthesis protein B	0	0	1.0
	866747	867232		+	moaC	EcE24377A_0846	molybdenum cofactor biosynthesis protein MoaC	0	0	1.0
	867225	867470		+	moaD	EcE24377A_0847	molybdopterin synthase small subunit	0	0	1.0
	867472	867924		+	moaE	EcE24377A_0848	molybdopterin guanine dinucleotide biosynthesis protein MoaE	0	0	1.0
	868061	868765		+	-	EcE24377A_0849	hypothetical protein	0	0	1.0
	868961	868857		-	-	EcE24377A_0850	hypothetical protein	0	0	1.0
	868970	869683		+	-	EcE24377A_0851	hypothetical protein	0	0	1.0
	870675	869719		-	-	EcE24377A_0852	hypothetical protein	0	0	1.0
	871916	870675		-	-	EcE24377A_0853	cardiolipin synthase 2	0	80	1.0
871484			871582	+	-	predicted RNA	antisense: EcE24377A_0853	0	1000	1.0
	871891	872010		+	-	EcE24377A_0855	hypothetical protein	0	0	1.0
	872674	871913		-	-	EcE24377A_0854	hypothetical protein	0	0	1.0
	872807	873217		+	-	EcE24377A_0857	hypothetical protein	0	0	1.0
	874285	873179		-	-	EcE24377A_0856	ABC-2 type transporter permease	0	0	1.0
	875429	874296		-	-	EcE24377A_0858	ABC-2 type transporter permease	0	0	1.0
	877158	875422		-	-	EcE24377A_0859	ABC transporter ATP-binding protein	0	0	1.0
	878146	877151		-	-	EcE24377A_0860	hypothetical protein	0	0	1.0
	878820	878149		-	-	EcE24377A_0861	DNA-binding transcriptional regulator	0	0	1.0
	879049	880413		+	-	EcE24377A_0862	ATP-dependent RNA helicase RhlE	0	73	1.0
880611	880579	880418	880418	-	-	EcE24377A_0863	hypothetical protein	0	419	0.0
	880420	880515		+	-	EcE24377A_0864	hypothetical protein	0	0	1.0
	881127	880645		-	-	EcE24377A_0865	hypothetical protein	0	0	1.0
	881247	883397		+	dinG	EcE24377A_0866	ATP-dependent DNA helicase DinG	0	46	1.0
882747			882648	-	-	predicted RNA	antisense: dinG	0	1000	1.0
	883425	884387		+	-	EcE24377A_0867	glycosyl transferase family protein	0	0	1.0
	884529	884425		-	-	EcE24377A_0868	hypothetical protein	0	0	1.0
	884528	885613		+	-	EcE24377A_0869	hypothetical protein	0	0	1.0
	886102	885842		-	-	EcE24377A_0870	hypothetical protein	0	0	1.0
	886633	886367		-	-	EcE24377A_0871	hypothetical protein	0	0	1.0
	887384	886707		-	-	EcE24377A_0872	hydroxylase	0	0	1.0
	889708	887426		-	fiu	EcE24377A_0873	catecholate siderophore receptor Fiu	0	0	1.0
889692	889692	889796	889806	+	-	EcE24377A_0874	hypothetical protein	0	857	0.0
890377	890377	889973	889968	-	-	EcE24377A_0875	hypothetical protein	0	234	0.0
	890428	891435		+	-	EcE24377A_0877	SAM-dependent methyltransferase	0	0	1.0
	893657	891432		-	-	EcE24377A_0876	hypothetical protein	0	0	1.0
	894496	893774		-	glnQ	EcE24377A_0878	glutamine ABC transporter ATP-binding protein	0	0	1.0
	895152	894493		-	glnP	EcE24377A_0879	glutamine ABC transporter permease	0	0	1.0
	896037	895291	895291	-	glnH	EcE24377A_0880	glutamine ABC transporter periplasmic protein	327	0	0.0
896056			896038	-	-	predicted RNA	-	277	0	0.0
895671			895898	+	-	predicted RNA	antisense: glnH	1459	0	1.0
	896944	896441	896441	-	dps	EcE24377A_0881	DNA starvation/stationary phase protection protein Dps	80	0	0.0
	897212	897114		-	-	EcE24377A_0882	hypothetical protein	0	0	1.0
	898130	897243		-	rhtA	EcE24377A_0883	threonine and homoserine efflux system	0	0	1.0
	898483	898998		+	ompX	EcE24377A_0884	outer membrane protein X	0	0	1.0
898839			898562	-	-	predicted RNA	antisense: ompX	299	0	0.0
	900630	899047		-	-	EcE24377A_0885	sulfatase	0	0	1.0
	901030	900902		-	-	EcE24377A_0886	hypothetical protein	0	0	1.0
	901216	901683		+	mntR	EcE24377A_0887	manganese transport regulator MntR	0	0	1.0
	901680	902798		+	-	EcE24377A_0888	citrate transporter family protein	0	0	1.0
	903777	902857		-	ybiS	EcE24377A_0889	hypothetical protein	0	0	1.0
	903996	905588		+	-	EcE24377A_0890	ABC transporter ATP-binding protein	0	0	1.0
	905867	906847		+	-	EcE24377A_0891	IS621, transposase	0	0	1.0
	908373	907108		-	-	EcE24377A_0892	hypothetical protein	0	0	1.0
909340	909340	908525	908525	-	supH	EcE24377A_0893	sugar phosphatase SupH	0	245	0.0
908667			908766	+	-	predicted RNA	antisense: supH	0	1000	1.0
908915			909014	+	-	predicted RNA	antisense: supH	0	1000	1.0
	911918	909486		-	-	EcE24377A_0894	formate C-acetyltransferas	0	0	1.0
	912823	911924		-	-	EcE24377A_0895	glycyl-radical activating family protein	0	0	1.0
	912954	913616		+	fsaA	EcE24377A_0896	fructose-6-phosphate aldolase	0	0	1.0
	914544	913795		-	moeB	EcE24377A_0897	molybdopterin biosynthesis protein MoeB	0	0	1.0
	915779	914544		-	moeA	EcE24377A_0898	molybdopterin biosynthesis protein MoeA	0	0	1.0
	915983	916948		+	-	EcE24377A_0899	L-asparaginase	0	0	1.0
	916935	918806		+	gsiA	EcE24377A_0900	glutathione transporter ATP-binding protein	0	0	1.0
	918826	920364		+	gsiB	EcE24377A_0901	glutathione ABC transporter periplasmic glutathione-binding protein GsiB	0	0	1.0
	920382	921302		+	gsiC	EcE24377A_0902	glutathione ABC transporter permease GsiC	0	0	1.0
	921305	922216		+	gsiD	EcE24377A_0903	glutathione ABC transporter permease GsiD	0	0	1.0
	922394	924742		+	-	EcE24377A_0904	cyclic diguanylate phosphodiesterase domain-containing protein	0	0	1.0
	924750	926078		+	-	EcE24377A_0905	diguanylate cyclase	0	0	1.0
	927450	926125		-	rimO	EcE24377A_0906	ribosomal protein S12 methylthiotransferase	0	0	1.0
	927630	928046		+	bssR	EcE24377A_0907	biofilm formation regulatory protein BssR	0	0	1.0
928087			928156	+	-	predicted RNA	-	0	1000	0.0
	928157	929272		+	yliI	EcE24377A_0909	aldose sugar dehydrogenase yliI	0	26	0.0
928486			928387	-	-	predicted RNA	antisense: yliI	0	1000	1.0
	929895	929269		-	-	EcE24377A_0908	glutathione S-transferase	0	0	1.0
	930142	931344		+	dacC	EcE24377A_0910	D-alanyl-D-alanine carboxypeptidase	0	0	1.0
	932149	931391		-	deoR	EcE24377A_0911	DNA-binding transcriptional repressor DeoR	0	0	1.0
	932803	932207		-	-	EcE24377A_0912	undecaprenyl pyrophosphate phosphatase	0	0	1.0
	932996	933103		+	-	EcE24377A_0913	hypothetical protein	0	0	1.0
	933088	934320		+	mdfA	EcE24377A_0914	multidrug translocase MdfA	0	0	1.0
	934638	934360		-	-	EcE24377A_0915	hypothetical protein	0	0	1.0
	935545	934730		-	ybjI	EcE24377A_0916	phosphatase YbjI	0	0	1.0
	936753	935545		-	-	EcE24377A_0917	major facilitator transporter	0	0	1.0
	936837	937373		+	-	EcE24377A_0918	TetR family transcriptional regulator	0	0	1.0
	939233	937548		-	-	EcE24377A_0919	hypothetical protein	0	0	1.0
	939503	939880		+	-	EcE24377A_0920	hypothetical protein	0	0	1.0
	940167	939910		-	grxA	EcE24377A_0921	glutaredoxin	0	0	1.0
	940327	940614		+	-	EcE24377A_0922	hypothetical protein	0	0	1.0
	940598	941320		+	nfsA	EcE24377A_0923	nitroreductase A	0	0	1.0
	941381	942283		+	rimK	EcE24377A_0924	ribosomal protein S6 modification protein	0	0	1.0
	942323	942847		+	-	EcE24377A_0925	hypothetical protein	0	0	1.0
	943198	944310		+	potF	EcE24377A_0926	putrescine ABC transporter periplasmic-binding protein	0	0	1.0
	944405	945538		+	potG	EcE24377A_0927	putrescine ABC transporter ATP-binding protein	0	0	1.0
	945548	946501		+	potH	EcE24377A_0928	putrescine ABC transporter membrane protein	0	0	1.0
	946498	947343		+	potI	EcE24377A_0929	putrescine ABC transporter membrane protein	0	0	1.0
	947403	947891		+	-	EcE24377A_0930	hypothetical protein	0	0	1.0
	947932	949059		+	rumB	EcE24377A_0931	23S rRNA methyluridine methyltransferase	0	0	1.0
	949071	949259		+	-	EcE24377A_0933	hypothetical protein	0	0	1.0
	949965	949234		-	artJ	EcE24377A_0932	arginine ABC transporter substrate-binding protein	0	0	1.0
	950924	950256		-	artM	EcE24377A_0934	arginine transporter permease subunit ArtM	0	0	1.0
	951640	950924		-	artQ	EcE24377A_0935	arginine transporter permease subunit ArtQ	0	0	1.0
	952378	951647		-	artI	EcE24377A_0936	arginine ABC transporter substrate-binding protein	0	0	1.0
	953124	952396		-	artP	EcE24377A_0937	arginine transporter ATP-binding subunit	0	0	1.0
	953857	953342		-	-	EcE24377A_0938	lipoprotein	0	0	1.0
	953983	954306		+	-	EcE24377A_0939	hypothetical protein	0	0	1.0
	954303	955133		+	amiD	EcE24377A_0941	N-acetylmuramoyl-L-alanine amidase	0	0	1.0
	956179	955130		-	-	EcE24377A_0940	NAD-dependent epimerase/dehydratase	0	0	1.0
957672	957672	956242	956242	-	-	EcE24377A_0942	NAD dependent epimerase/dehydratase	29	0	0.0
957164			964087	+	-	predicted RNA	antisense: hcp EcE24377A_0947 hcr poxB ltaE EcE24377A_0942	12	0	0.0
958684	958684	957683	957683	-	ltaE	EcE24377A_0943	L-threonine aldolase	41	0	0.0
	960439	958721		-	poxB	EcE24377A_0944	pyruvate dehydrogenase	0	0	1.0
	961540	960572		-	hcr	EcE24377A_0945	HCP oxidoreductase	0	0	1.0
	963204	961552		-	hcp	EcE24377A_0946	hydroxylamine reductase	0	0	1.0
	964247	963348		-	-	EcE24377A_0947	hypothetical protein	0	0	1.0
	965399	964704		-	aqpZ	EcE24377A_0948	aquaporin Z	0	0	1.0
	965825	967483		+	-	EcE24377A_0950	hypothetical protein	0	0	1.0
	968472	967480		-	-	EcE24377A_0949	hypothetical protein	0	0	1.0
	968587	969702		+	macA	EcE24377A_0951	macrolide transporter subunit MacA	0	0	1.0
970452			970355	-	-	predicted RNA	-	0	1000	0.0
970108			970246	+	-	predicted RNA	-	0	2151	0.0
	971941	971717		-	cspD	EcE24377A_0953	stationary phase/starvation inducible regulatory protein CspD	0	0	1.0
972189	972264	972584	972614	+	clpS	EcE24377A_0954	ATP-dependent Clp protease adaptor protein ClpS	93	36822	6.2508082873462624E-6
	972615	974891		+	clpA	EcE24377A_0955	ATP-dependent Clp protease ATP-binding subunit	17	33	1.0
975381			975294	-	-	EcE24377A_5025	Ser tRNA	0	0	1.0
	975853	975635		-	infA	EcE24377A_0957	translation initiation factor IF-1	0	0	1.0
	976842	976138		-	aat	EcE24377A_0958	leucyl/phenylalanyl-tRNA--protein transferase	0	0	1.0
	978605	976884		-	cudC	EcE24377A_0959	cysteine/glutathione ABC transporter membrane/ATP-binding protein	0	0	1.0
	980372	978606		-	cydD	EcE24377A_0960	cysteine/glutathione ABC transporter membrane/ATP-binding protein	23	56	1.0
978759			978908	+	-	predicted RNA	antisense: cydD	277	0	0.0
	979169	979261		+	-	EcE24377A_0961	hypothetical protein	0	0	1.0
	981460	980495		-	trxB	EcE24377A_0962	thioredoxin reductase	0	0	1.0
	981529	981642		+	-	EcE24377A_0963	hypothetical protein	0	0	1.0
982005	982005	982499	982499	+	lrp	EcE24377A_0964	leucine-responsive transcriptional regulator	83	0	0.0
982302			982153	-	-	predicted RNA	antisense: lrp	277	0	0.0
982522			982374	-	-	predicted RNA	antisense: lrp	277	0	0.0
	982634	986740		+	ftsK	EcE24377A_0965	DNA translocase FtsK	0	24	1.0
983243			983144	-	-	predicted RNA	antisense: ftsK	0	1000	1.0
986895	986895	987506	987506	+	lolA	EcE24377A_0966	outer-membrane lipoprotein carrier protein	68	163	1.0
987543			987394	-	-	predicted RNA	antisense: EcE24377A_0967 lolA	277	666	1.0
	987517	988860		+	-	EcE24377A_0967	recombination factor protein RarA	0	0	1.0
988951	988951	990243	990347	+	serS	EcE24377A_0968	seryl-tRNA synthetase	32	6072	1.8191227686059575E-10
989892			989793	-	-	predicted RNA	antisense: serS	0	1000	1.0
990098			989949	-	-	predicted RNA	antisense: serS	277	0	0.0
992400			990164	-	-	predicted RNA	antisense: serS dmsA	0	7684	1.0
	990482	992926		+	dmsA	EcE24377A_0969	anaerobic dimethyl sulfoxide reductase, A subunit	0	40	1.0
	992937	993554		+	dmsB1	EcE24377A_0971	dimethylsulfoxide reductase subunit B	0	0	1.0
	994037	993132		-	-	EcE24377A_0970	hypothetical protein	0	0	1.0
	993556	994419		+	dmsC1	EcE24377A_0972	anaerobic dimethyl sulfoxide reductase subunit C	0	0	1.0
	995081	994455		-	-	EcE24377A_0973	isochorismatase hydrolase	0	0	1.0
	995365	995237		-	-	EcE24377A_0974	hypothetical protein	0	0	1.0
	995396	996544		+	-	EcE24377A_0975	MFS family transporter protein	0	0	1.0
	996562	998184		+	-	EcE24377A_0976	amino acid permease	0	0	1.0
	999093	998185		-	-	EcE24377A_0977	LysR family transcriptional regulator	0	0	1.0
	998188	998301		+	-	EcE24377A_0978	hypothetical protein	0	0	1.0
	999193	999783		+	-	EcE24377A_0979	hypothetical protein	0	0	1.0
1000662	1000662	999865	999865	-	pflA	EcE24377A_0980	pyruvate formate lyase-activating enzyme 1	52	0	0.0
	1001689	1000694		-	-	EcE24377A_0981	phage integrase site specific recombinase	0	0	1.0
	1002191	1002547		+	cox	EcE24377A_0982	phage regulatory protein	0	0	1.0
	1002725	1003225		+	-	EcE24377A_0983	replication gene B protein	0	0	1.0
	1003256	1003513		+	-	EcE24377A_0984	hypothetical protein	0	0	1.0
	1003513	1003815		+	-	EcE24377A_0985	hypothetical protein	0	0	1.0
	1003815	1004039		+	-	EcE24377A_0986	C4-type zinc finger DksA/TraR family protein	0	0	1.0
	1004036	1004311		+	-	EcE24377A_0987	hypothetical protein	0	0	1.0
	1004301	1006577		+	gpA	EcE24377A_0988	replication gene A protein	0	0	1.0
	1007691	1008992		+	-	EcE24377A_0989	hypothetical protein	0	0	1.0
	1010084	1009542		-	-	EcE24377A_0990	PBSX family phage portal protein	0	0	1.0
	1010333	1011418		+	-	EcE24377A_0993	hypothetical protein	0	0	1.0
	1011492	1012664		+	-	EcE24377A_0994	IS21 family transposase	0	0	1.0
	1012664	1013458		+	-	EcE24377A_0995	IS21 family transposition helper protein	0	0	1.0
	1013530	1014909		+	-	EcE24377A_0996	hypothetical protein	0	0	1.0
	1014924	1015403		+	gpU	EcE24377A_0997	phage protein gpU	0	0	1.0
	1015403	1016566		+	-	EcE24377A_0998	phage late control gene D protein	0	0	1.0
	1016648	1016866		+	-	EcE24377A_0999	DNA-binding transcriptional regulator	0	0	1.0
	1019468	1017186		-	pflB2	EcE24377A_1000	formate acetyltransferase	13	0	0.0
1019522			1019469	-	-	predicted RNA	-	555	0	0.0
1019286			1019435	+	-	predicted RNA	antisense: pflB2	555	0	0.0
	1020380	1019523		-	-	EcE24377A_1001	formate transporter	24	0	0.0
	1022546	1020786		-	-	EcE24377A_1002	hypothetical protein	0	0	1.0
	1022676	1023368		+	-	EcE24377A_1003	hypothetical protein	0	0	1.0
	1023567	1024655		+	serC	EcE24377A_1004	phosphoserine aminotransferase	0	0	1.0
	1024726	1026009		+	aroA	EcE24377A_1005	3-phosphoshikimate 1-carboxyvinyltransferase	0	0	1.0
	1026178	1026942		+	-	EcE24377A_1006	M48B family peptidase	0	0	1.0
	1027115	1027798		+	cmk	EcE24377A_1007	cytidylate kinase	0	0	1.0
	1027909	1029582		+	rpsA	EcE24377A_1008	30S ribosomal protein S1	23	0	0.0
1028167			1028018	-	-	predicted RNA	antisense: rpsA	277	0	0.0
	1029742	1030026		+	ihfB	EcE24377A_1009	integration host factor subunit beta	0	0	1.0
	1030233	1032497		+	-	EcE24377A_1011	hypothetical protein	0	0	1.0
1030351			1030254	-	-	predicted RNA	antisense: EcE24377A_1011	0	1000	0.0
	1032534	1034282		+	msbA	EcE24377A_1012	lipid transporter ATP-binding protein/permease	0	0	1.0
	1034279	1035265		+	lpxK	EcE24377A_1013	tetraacyldisaccharide 4'-kinase	0	101	1.0
1035178			1035079	-	-	predicted RNA	antisense: lpxK	0	1000	1.0
1035302	1035302	1036534	1036534	+	-	EcE24377A_1014	hypothetical protein	0	5753	0.0
1036165			1035981	-	-	predicted RNA	antisense: EcE24377A_1014	0	38286	0.0
	1036586	1036768		+	-	EcE24377A_1015	hypothetical protein	0	0	1.0
	1036765	1037511		+	kdsB	EcE24377A_1016	3-deoxy-manno-octulosonate cytidylyltransferase	0	0	1.0
	1037665	1038558		+	-	EcE24377A_1018	hypothetical protein	0	0	1.0
	1039314	1038535		-	-	EcE24377A_1017	hypothetical protein	0	0	1.0
	1039381	1039217		-	-	EcE24377A_1019	hypothetical protein	0	0	1.0
	1039450	1040235		+	smtA	EcE24377A_1020	metallothionein SmtA	0	0	1.0
	1040232	1041554		+	mukF	EcE24377A_1021	condesin subunit F	0	0	1.0
	1041535	1042239		+	mukE	EcE24377A_1022	condesin subunit E	0	0	1.0
	1042239	1046699		+	mukB	EcE24377A_1023	cell division protein MukB	0	0	1.0
1046960	1046960	1048807	1048807	+	-	EcE24377A_1024	hypothetical protein	45	54	1.0
1047456			1047359	-	-	predicted RNA	antisense: EcE24377A_1024	0	1000	0.0
1048107			1047958	-	-	predicted RNA	antisense: EcE24377A_1024	555	0	0.0
	1048988	1049536		+	-	EcE24377A_1025	Tat pathway signal sequence domain-containing protein	0	0	1.0
	1049563	1050210		+	-	EcE24377A_1026	metallo-beta-lactamase	0	0	1.0
	1051622	1050432		-	aspC	EcE24377A_1027	aromatic amino acid aminotransferase	0	0	1.0
	1051794	1051696		-	-	EcE24377A_1028	hypothetical protein	0	0	1.0
	1052895	1051807		-	ompF	EcE24377A_1029	outer membrane protein F	0	0	1.0
1054897	1054897	1053497	1053497	-	asnC	EcE24377A_1030	asparaginyl-tRNA synthetase	4490	0	1.0
1054206			1054784	+	-	predicted RNA	antisense: asnC	10782	0	1.0
	1056268	1055066		-	pncB	EcE24377A_1031	nicotinate phosphoribosyltransferase	0	0	1.0
	1056534	1059146		+	pepN	EcE24377A_1033	aminopeptidase	0	0	1.0
1058200			1058051	-	-	predicted RNA	antisense: pepN	277	0	0.0
	1059162	1059278		+	-	EcE24377A_1034	hypothetical protein	0	0	1.0
	1060120	1059353		-	ssuB	EcE24377A_1035	aliphatic sulfonates transport ATP-binding subunit	0	0	1.0
	1060908	1060117		-	ssuC	EcE24377A_1036	alkanesulfonate transporter permease subunit	0	0	1.0
	1062064	1060919		-	ssuD	EcE24377A_1037	alkanesulfonate monooxygenase	0	0	1.0
	1063027	1062302		-	-	EcE24377A_1038	hypothetical protein	0	0	1.0
	1063917	1064831		+	-	EcE24377A_1039	hypothetical protein	0	0	1.0
	1064834	1065367		+	-	EcE24377A_1040	hypothetical protein	0	0	1.0
	1065923	1065396		-	gpG	EcE24377A_1041	tail fiber assembly protein	0	0	1.0
	1067334	1065925		-	-	EcE24377A_1042	phage tail fiber protein	0	0	1.0
	1067876	1067334		-	-	EcE24377A_1043	hypothetical protein	0	0	1.0
	1068949	1067867		-	-	EcE24377A_1044	baseplate assembly protein J	0	0	1.0
	1069387	1068950		-	-	EcE24377A_1045	phage protein GP46	0	0	1.0
	1069977	1069384		-	-	EcE24377A_1046	phage baseplate assembly protein V	0	0	1.0
	1071104	1069965		-	-	EcE24377A_1047	bacteriophage Mu P protein	0	0	1.0
	1073474	1071486		-	-	EcE24377A_1049	bacteriophage Mu transposase MuA	0	0	1.0
	1073889	1074413		+	-	EcE24377A_1050	repressor protein	0	0	1.0
	1075633	1074683		-	-	EcE24377A_1051	aliphatic sulfonate ABC transporter periplasmic substrate-binding protein	0	0	1.0
	1076159	1075584		-	-	EcE24377A_1052	NAD(P)H-dependent FMN reductase	0	0	1.0
1076416			1076514	+	-	predicted RNA	-	0	1000	1.0
	1076515	1077057		+	-	EcE24377A_1053	fimbrial protein	0	1	1.0
	1077140	1077841		+	-	EcE24377A_1054	periplasmic pilus chaperone family protein	0	0	1.0
	1077866	1080466		+	fimD2	EcE24377A_1055	outer membrane usher protein fimD	0	0	1.0
	1080457	1081527		+	-	EcE24377A_1056	fimbrial protein	0	0	1.0
	1081539	1082081		+	-	EcE24377A_1057	fimbrial protein	0	0	1.0
	1082089	1082604		+	-	EcE24377A_1058	fimbrial protein	0	0	1.0
	1082570	1083307		+	-	EcE24377A_1059	pili assembly chaperone	0	0	1.0
	1083418	1084428		+	pyrD	EcE24377A_1060	dihydroorotate dehydrogenase 2	0	0	1.0
	1084566	1085144		+	-	EcE24377A_1062	hypothetical protein	0	0	1.0
	1086250	1085141		-	-	EcE24377A_1061	MOSC domain-containing protein	0	0	1.0
	1086494	1088602		+	rlmL	EcE24377A_1063	23S rRNA m(2)G2445 methyltransferase	0	0	1.0
	1088614	1090521		+	uup	EcE24377A_1064	ABC transporter ATPase	0	0	1.0
	1090651	1091904		+	pqiA	EcE24377A_1065	paraquat-inducible protein A	0	0	1.0
	1091909	1093549		+	pqiB	EcE24377A_1066	paraquat-inducible protein B	0	0	1.0
	1093546	1094109		+	-	EcE24377A_1067	hypothetical protein	0	0	1.0
	1095120	1094602		-	fabA	EcE24377A_1068	3-hydroxydecanoyl-ACP dehydratase	0	0	1.0
	1096949	1095189		-	-	EcE24377A_1069	S16 family peptidase	0	0	1.0
	1097135	1097587		+	-	EcE24377A_1070	hypothetical protein	0	0	1.0
	1098714	1097662		-	ompA	EcE24377A_1071	outer membrane protein A	0	0	1.0
	1098869	1099087		+	-	EcE24377A_1073	hypothetical protein	0	0	1.0
	1099580	1099071		-	sulA	EcE24377A_1072	SOS cell division inhibitor	0	0	1.0
	1099799	1100428		+	-	EcE24377A_1075	TfoX family protein	0	0	1.0
	1102553	1100391		-	-	EcE24377A_1074	hypothetical protein	0	0	1.0
	1103009	1102563		-	-	EcE24377A_1076	hypothetical protein	0	0	1.0
	1103132	1105186		+	helD	EcE24377A_1077	DNA helicase IV	0	0	1.0
	1105676	1105218		-	mgsA	EcE24377A_1078	methylglyoxal synthase	0	0	1.0
	1106434	1105772		-	-	EcE24377A_1079	hypothetical protein	0	0	1.0
	1106607	1107020		+	-	EcE24377A_1080	CoA-binding protein	0	0	1.0
	1107382	1107065		-	-	EcE24377A_1081	heat shock protein HspQ	0	0	1.0
	1108630	1107440		-	-	EcE24377A_1082	hypothetical protein	0	0	1.0
	1109329	1109000		-	tusE	EcE24377A_1083	sulfur transfer protein TusE	0	0	1.0
	1110079	1109420		-	-	EcE24377A_1084	hypothetical protein	0	0	1.0
1110373			1110286	-	-	EcE24377A_5026	Ser tRNA	0	0	1.0
1110333			1110431	+	-	predicted RNA	antisense: EcE24377A_5026	0	1000	1.0
	1110800	1111918		+	hyaA	EcE24377A_1087	nickel-dependent hydrogenase, small subunit	0	0	1.0
	1111915	1113708		+	hyaB	EcE24377A_1088	hydrogenase 1 large subunit	0	0	1.0
	1113727	1114434		+	hyaC	EcE24377A_1089	hydrogenase 1 b-type cytochrome subunit	0	0	1.0
	1114431	1115018		+	hyaD	EcE24377A_1090	hydrogenase 1 maturation protease	0	0	1.0
	1115015	1115413		+	hyaE	EcE24377A_1091	hydrogenase-1 operon protein HyaE	0	0	1.0
	1115410	1116267		+	hyaF	EcE24377A_1092	hydrogenase-1 operon protein HyaF	0	0	1.0
	1116401	1117945		+	appC	EcE24377A_1093	cytochrome bd-II oxidase subunit I	0	0	1.0
	1117957	1119093		+	appB	EcE24377A_1094	cytochrome bd-II oxidase subunit II	0	0	1.0
	1119106	1119198		+	-	EcE24377A_1095	membrane protein	0	0	1.0
	1119278	1120576		+	appA	EcE24377A_1096	phosphoanhydride phosphorylase	0	0	1.0
	1122871	1120691		-	etk	EcE24377A_1097	cryptic autophosphorylating protein tyrosine kinase Etk	0	0	1.0
	1123337	1122891		-	etp	EcE24377A_1098	phosphotyrosine-protein phosphatase	0	0	1.0
	1124485	1123325		-	yccZ	EcE24377A_1099	outer membrane lipoprotein, group 4 capsule (G4C) polysaccharide	0	0	1.0
	1126606	1124510		-	-	EcE24377A_1100	lipoprotein	0	0	1.0
	1127352	1126606		-	-	EcE24377A_1101	hypothetical protein	0	0	1.0
	1127993	1127349		-	ymcC	EcE24377A_1102	group 4 capsule (G4C) polysaccharide, lipoprotein YmcC	0	0	1.0
	1128423	1128100		-	-	EcE24377A_1103	inner membrane protein	0	0	1.0
	1129059	1128847		-	-	EcE24377A_1104	cold shock DNA-binding protein	0	0	1.0
	1129345	1129557		+	-	EcE24377A_1105	cold shock protein CspG	0	0	1.0
	1129951	1130124		+	-	EcE24377A_1107	GnsA/GnsB family transcriptional regulator	0	0	1.0
	1130139	1129966		-	-	EcE24377A_1106	hypothetical protein	0	0	1.0
